Date,Open,High,Low,Close,Adj Close,Volume
12/4/2015,28.82250023,29.8125,28.77750015,29.75749969,27.09101868,231108000
12/7/2015,29.74500084,29.96500015,29.45249939,29.56999969,26.92032242,128336800
12/8/2015,29.37999916,29.64999962,29.21500015,29.55750084,26.90894318,137238000
12/9/2015,29.40999985,29.42250061,28.77000046,28.90500069,26.3149128,185445600
12/10/2015,29.01000023,29.23500061,28.87750053,29.04249954,26.44009018,116850800
12/11/2015,28.79750061,28.84749985,28.21249962,28.29500008,25.75957298,187544800
12/14/2015,28.04500008,28.17000008,27.44750023,28.12000084,25.60025978,257274800
12/15/2015,27.98500061,28.20000076,27.58749962,27.62249947,25.14733124,213292400
12/16/2015,27.76749992,27.99749947,27.20000076,27.83499908,25.34078026,224954000
12/17/2015,28.00499916,28.0625,27.24500084,27.24500084,24.80366135,179091200
12/18/2015,27.22750092,27.37999916,26.45249939,26.50749969,24.1322403,385813200
12/21/2015,26.81999969,26.84250069,26.39249992,26.83250046,24.42812347,190362400
12/22/2015,26.85000038,26.93000031,26.61249924,26.80750084,24.40536499,131157600
12/23/2015,26.81749916,27.21249962,26.79999924,27.15250015,24.71944809,130629600
12/24/2015,27.25,27.25,26.98749924,27.00749969,24.5874424,54281600
12/28/2015,26.89749908,26.92250061,26.54500008,26.70499992,24.31204987,106816800
12/29/2015,26.73999977,27.35750008,26.71500015,27.18499947,24.7490406,123724800
12/30/2015,27.14500046,27.17499924,26.79500008,26.82999992,24.42584419,100855200
12/31/2015,26.75250053,26.75749969,26.20499992,26.31500053,23.95699501,163649200
1/4/2016,25.65250015,26.34250069,25.5,26.33749962,23.97747993,270597600
1/5/2016,26.4375,26.46249962,25.60250092,25.67749977,23.37661552,223164000
1/6/2016,25.13999939,25.59250069,24.96750069,25.17499924,22.91914368,273829600
1/7/2016,24.67000008,25.03249931,24.10750008,24.11249924,21.95185089,324377600
1/8/2016,24.63750076,24.77750015,24.19000053,24.23999977,22.06793022,283192000
1/11/2016,24.74250031,24.76499939,24.33499908,24.63249969,22.42525291,198957600
1/12/2016,25.13750076,25.17250061,24.70999908,24.98999977,22.75072479,196616800
1/13/2016,25.07999992,25.29750061,24.32500076,24.34749985,22.16579628,249758400
1/14/2016,24.48999977,25.12000084,23.93499947,24.87999916,22.65057755,252680400
1/15/2016,24.04999924,24.42749977,23.84000015,24.28249931,22.10662079,319335600
1/19/2016,24.60250092,24.66250038,23.875,24.16500092,21.99964905,212350800
1/20/2016,23.77499962,24.54750061,23.35499954,24.19750023,22.02923775,289337600
1/21/2016,24.26499939,24.46999931,23.73500061,24.07500076,21.91771507,208646000
1/22/2016,24.65749931,25.36499977,24.59250069,25.35499954,23.08301163,263202000
1/25/2016,25.37999916,25.38249969,24.80249977,24.86000061,22.63237,207178000
1/26/2016,24.98250008,25.21999931,24.51749992,24.99749947,22.75754547,300308000
1/27/2016,24.01000023,24.15749931,23.33499908,23.35499954,21.26222801,533478800
1/28/2016,23.44750023,23.62999916,23.09749985,23.52249908,21.41471863,222715200
1/29/2016,23.69750023,24.33499908,23.58749962,24.33499908,22.15440941,257666000
2/1/2016,24.11750031,24.17749977,23.85000038,24.10750008,21.94730186,163774000
2/2/2016,23.85499954,24.01000023,23.56999969,23.62000084,21.50348473,149428800
2/3/2016,23.75,24.20999908,23.52000046,24.08749962,21.9290905,183857200
2/4/2016,23.96500015,24.33250046,23.79750061,24.14999962,22.10528946,185886800
